,index,co_code,company_name,co_stkdate,nse_closing_price,nse_returns
322,41715,11,20 MICRONS LTD.,2020-04-24,28.2,0.9479
323,41716,11,20 MICRONS LTD.,2020-04-27,28.75,1.0195
324,41717,11,20 MICRONS LTD.,2020-04-28,29.05,1.0104
325,41718,11,20 MICRONS LTD.,2020-04-29,29.3,1.0086
326,41719,11,20 MICRONS LTD.,2020-04-30,29.05,0.9915
327,41720,11,20 MICRONS LTD.,2020-05-04,27.95,0.9621
328,41721,11,20 MICRONS LTD.,2020-05-05,27.45,0.9821
329,41722,11,20 MICRONS LTD.,2020-05-06,27.05,0.9854
330,41723,11,20 MICRONS LTD.,2020-05-07,27.4,1.0129
331,41724,11,20 MICRONS LTD.,2020-05-08,26.7,0.9745
332,41725,11,20 MICRONS LTD.,2020-05-11,26.8,1.0037
333,41726,11,20 MICRONS LTD.,2020-05-12,26.2,0.9776
334,41727,11,20 MICRONS LTD.,2020-05-13,26.2,1.0
335,41728,11,20 MICRONS LTD.,2020-05-14,25.8,0.9847
336,41729,11,20 MICRONS LTD.,2020-05-15,26.1,1.0116
337,41730,11,20 MICRONS LTD.,2020-05-18,25.15,0.9636
338,41731,11,20 MICRONS LTD.,2020-05-19,24.85,0.9881
339,41732,11,20 MICRONS LTD.,2020-05-20,24.9,1.002
340,41733,11,20 MICRONS LTD.,2020-05-21,25.55,1.0261
341,41734,11,20 MICRONS LTD.,2020-05-22,25.8,1.0098
342,41735,11,20 MICRONS LTD.,2020-05-26,25.45,0.9864
343,41736,11,20 MICRONS LTD.,2020-05-27,25.6,1.0059
344,41737,11,20 MICRONS LTD.,2020-05-28,26.1,1.0195
345,41738,11,20 MICRONS LTD.,2020-05-29,26.15,1.0019
346,41739,11,20 MICRONS LTD.,2020-06-01,26.9,1.0287
347,41740,11,20 MICRONS LTD.,2020-06-02,27.5,1.0223
348,41741,11,20 MICRONS LTD.,2020-06-03,28.85,1.0491
349,41742,11,20 MICRONS LTD.,2020-06-04,28.3,0.9809
350,41743,11,20 MICRONS LTD.,2020-06-05,29.5,1.0424
351,41744,11,20 MICRONS LTD.,2020-06-08,31.75,1.0763
352,41745,11,20 MICRONS LTD.,2020-06-09,29.4,0.926
353,41746,11,20 MICRONS LTD.,2020-06-10,29.15,0.9915
354,41747,11,20 MICRONS LTD.,2020-06-11,28.1,0.964
355,41748,11,20 MICRONS LTD.,2020-06-12,28.05,0.9982
356,41749,11,20 MICRONS LTD.,2020-06-15,30.15,1.0749
357,41750,11,20 MICRONS LTD.,2020-06-16,31.55,1.0464
358,41751,11,20 MICRONS LTD.,2020-06-17,30.15,0.9556
359,41752,11,20 MICRONS LTD.,2020-06-18,30.45,1.01
360,41753,11,20 MICRONS LTD.,2020-06-19,31.3,1.0279
361,41754,11,20 MICRONS LTD.,2020-06-22,33.05,1.0559
362,41755,11,20 MICRONS LTD.,2020-06-23,34.05,1.0303
363,41756,11,20 MICRONS LTD.,2020-06-24,32.25,0.9471
364,41757,11,20 MICRONS LTD.,2020-06-25,31.35,0.9721
365,41758,11,20 MICRONS LTD.,2020-06-26,32.3,1.0303
366,41759,11,20 MICRONS LTD.,2020-06-29,34.45,1.0666
367,41760,11,20 MICRONS LTD.,2020-06-30,32.4,0.9405
368,41761,11,20 MICRONS LTD.,2020-07-01,32.5,1.0031
369,41762,11,20 MICRONS LTD.,2020-07-02,32.5,1.0
370,41763,11,20 MICRONS LTD.,2020-07-03,32.25,0.9923
371,41764,11,20 MICRONS LTD.,2020-07-06,33.2,1.0295
372,41765,11,20 MICRONS LTD.,2020-07-07,32.2,0.9699
373,41766,11,20 MICRONS LTD.,2020-07-08,32.25,1.0016
374,41767,11,20 MICRONS LTD.,2020-07-09,32.0,0.9922
375,41768,11,20 MICRONS LTD.,2020-07-10,32.3,1.0094
376,41769,11,20 MICRONS LTD.,2020-07-13,33.45,1.0356
377,41770,11,20 MICRONS LTD.,2020-07-14,31.85,0.9522
378,41771,11,20 MICRONS LTD.,2020-07-15,31.8,0.9984
379,41772,11,20 MICRONS LTD.,2020-07-16,31.0,0.9748
380,41773,11,20 MICRONS LTD.,2020-07-17,31.35,1.0113
381,41774,11,20 MICRONS LTD.,2020-07-20,31.85,1.0159
382,41775,11,20 MICRONS LTD.,2020-07-21,31.1,0.9765
383,41776,11,20 MICRONS LTD.,2020-07-22,30.55,0.9823
384,41777,11,20 MICRONS LTD.,2020-07-23,30.55,1.0
385,41778,11,20 MICRONS LTD.,2020-07-24,31.25,1.0229
386,41779,11,20 MICRONS LTD.,2020-07-27,30.3,0.9696
387,41780,11,20 MICRONS LTD.,2020-07-28,30.35,1.0017
388,41781,11,20 MICRONS LTD.,2020-07-29,29.9,0.9852
389,41782,11,20 MICRONS LTD.,2020-07-30,29.15,0.9749
390,41783,11,20 MICRONS LTD.,2020-07-31,28.6,0.9811
391,41784,11,20 MICRONS LTD.,2020-08-03,29.0,1.014
392,41785,11,20 MICRONS LTD.,2020-08-04,30.1,1.0379
393,41786,11,20 MICRONS LTD.,2020-08-05,30.85,1.0249
394,41787,11,20 MICRONS LTD.,2020-08-06,31.25,1.013
395,41788,11,20 MICRONS LTD.,2020-08-07,30.95,0.9904
396,41789,11,20 MICRONS LTD.,2020-08-10,30.8,0.9952
397,41790,11,20 MICRONS LTD.,2020-08-11,32.55,1.0568
398,41791,11,20 MICRONS LTD.,2020-08-12,33.95,1.043
399,41792,11,20 MICRONS LTD.,2020-08-13,32.8,0.9661
400,41793,11,20 MICRONS LTD.,2020-08-14,30.85,0.9405
401,41794,11,20 MICRONS LTD.,2020-08-17,31.3,1.0146
402,41795,11,20 MICRONS LTD.,2020-08-18,31.4,1.0032
403,41796,11,20 MICRONS LTD.,2020-08-19,31.9,1.0159
404,41797,11,20 MICRONS LTD.,2020-08-20,31.75,0.9953
405,41798,11,20 MICRONS LTD.,2020-08-21,31.75,1.0
406,41799,11,20 MICRONS LTD.,2020-08-24,31.55,0.9937
407,41800,11,20 MICRONS LTD.,2020-08-25,31.25,0.9905
408,41801,11,20 MICRONS LTD.,2020-08-26,32.9,1.0528
409,41802,11,20 MICRONS LTD.,2020-08-27,33.25,1.0106
410,41803,11,20 MICRONS LTD.,2020-08-28,32.65,0.982
411,41804,11,20 MICRONS LTD.,2020-08-31,30.95,0.9479
412,41805,11,20 MICRONS LTD.,2020-09-01,30.35,0.9806
413,41806,11,20 MICRONS LTD.,2020-09-02,30.55,1.0066
414,41807,11,20 MICRONS LTD.,2020-09-03,31.05,1.0164
415,41808,11,20 MICRONS LTD.,2020-09-04,30.1,0.9694
416,41809,11,20 MICRONS LTD.,2020-09-07,29.6,0.9834
417,41810,11,20 MICRONS LTD.,2020-09-08,29.8,1.0068
418,41811,11,20 MICRONS LTD.,2020-09-09,29.35,0.9849
419,41812,11,20 MICRONS LTD.,2020-09-10,29.25,0.9966
420,41813,11,20 MICRONS LTD.,2020-09-11,29.3,1.0017
421,41814,11,20 MICRONS LTD.,2020-09-14,29.65,1.0119
422,41815,11,20 MICRONS LTD.,2020-09-15,29.3,0.9882
423,41816,11,20 MICRONS LTD.,2020-09-16,29.7,1.0137
424,41817,11,20 MICRONS LTD.,2020-09-17,29.35,0.9882
425,41818,11,20 MICRONS LTD.,2020-09-18,29.1,0.9915
426,41819,11,20 MICRONS LTD.,2020-09-21,28.25,0.9708
427,41820,11,20 MICRONS LTD.,2020-09-22,27.3,0.9664
428,41821,11,20 MICRONS LTD.,2020-09-23,26.6,0.9744
429,41822,11,20 MICRONS LTD.,2020-09-24,26.2,0.985
430,41823,11,20 MICRONS LTD.,2020-09-25,28.45,1.0859
431,41824,11,20 MICRONS LTD.,2020-09-28,29.1,1.0228
432,41825,11,20 MICRONS LTD.,2020-09-29,28.6,0.9828
